,id,var_id,nombre,descripcion_in,clase,categorias
0,1,CVP,CVP,central venous pressure,Evidencia,"  LOW ,  NORMAL ,  HIGH  "
1,2,PCWP,PCWP,pulmonary capillary wedge pressure,Evidencia,"  LOW ,  NORMAL ,  HIGH  "
2,3,HIST,HISTORY,history,Evidencia,"  TRUE ,  FALSE  "
3,4,TPR,TPR,total peripheral resistance,Evidencia,"  LOW ,  NORMAL ,  HIGH  "
4,5,BP,BP,blood pressure,Evidencia,"  LOW ,  NORMAL ,  HIGH  "
5,6,CO,CO,cardiac output,Evidencia,"  LOW ,  NORMAL ,  HIGH  "
6,7,HRBP,HRBP,heart rate / blood pressure,Evidencia,"  LOW ,  NORMAL ,  HIGH  "
7,9,HRSA,HRSAT,heart rate / oxygen saturation,Evidencia,"  LOW ,  NORMAL ,  HIGH  "
8,10,PAP,PAP,pulmonary artery pressure,Evidencia,"  LOW ,  NORMAL ,  HIGH  "
9,11,SAO2,SAO2,arterial oxygen saturation,Evidencia,"  LOW ,  NORMAL ,  HIGH  "
10,12,FIO2,FIO2,fraction of inspired oxygen,Evidencia,"  LOW ,  NORMAL  "
11,14,ECO2,EXPCO2,expelled CO2,Evidencia,"  ZERO ,  LOW ,  NORMAL ,  HIGH  "
12,15,MINV,MINVOL,minimum volume,Evidencia,"  ZERO ,  LOW ,  NORMAL ,  HIGH  "
13,17,HYP,HYPOVOLEMIA,hypovolemia,Alarma,"  TRUE ,  FALSE  "
14,18,LVF,LVFAILURE,left ventricular failure,Alarma,"  TRUE ,  FALSE  "
15,20,ANES,INSUFFANESTH,insufficient anesthesia/analgesia,Alarma,"  TRUE ,  FALSE  "
16,21,PMB,PULMEMBOLUS,pulmonary embolus,Alarma,"  TRUE ,  FALSE  "
17,22,INT,INTUBATION,intubation,Alarma,"  NORMAL ,  ESOPHAGEAL ,  ONESIDED  "
18,23,KINK,KINKEDTUBE,kinked tube,Alarma,"  TRUE ,  FALSE  "
19,24,DISC,DISCONNECT,disconnection,Alarma,"  TRUE ,  FALSE  "
20,26,STKV,STROKEVOLUME,stroke volume,Variables inferidas,"  LOW ,  NORMAL ,  HIGH  "
21,27,CCHL,CATECHOL,catecholamine,Variables inferidas,"  NORMAL ,  HIGH  "
22,28,ERLO,ERRLOWOUTPUT,error low output,Variables inferidas,"  TRUE ,  FALSE  "
23,29,HR,HR,heart rate,Variables inferidas,"  LOW ,  NORMAL ,  HIGH  "
24,30,ERCA,ERRCAUTER,electrocauter,Variables inferidas,"  TRUE ,  FALSE  "
25,31,SHNT,SHUNT,shunt,Variables inferidas,"  NORMAL ,  HIGH  "
26,32,PVS,PVSAT,pulmonary venous oxygen saturation,Variables inferidas,"  LOW ,  NORMAL ,  HIGH  "
27,33,ACO2,ARTCO2,arterial CO2,Variables inferidas,"  LOW ,  NORMAL ,  HIGH  "
28,34,VALV,VENTALV,pulmonary alveoli ventilation,Variables inferidas,"  ZERO ,  LOW ,  NORMAL ,  HIGH  "
29,35,VLNG,VENTLUNG,lung ventilation,Variables inferidas,"  ZERO ,  LOW ,  NORMAL ,  HIGH  "
30,36,VTUB,VENTTUBE,ventilation tube,Variables inferidas,"  ZERO ,  LOW ,  NORMAL ,  HIGH  "
31,37,VMCH,VENTMACH,ventilation machine,Variables inferidas,"  ZERO ,  LOW ,  NORMAL ,  HIGH  "
